N,Densidade,Estrutura,Operacao,Tempo,Memoria
100,1.0,Tradicional,Uso de Memória,0.0,92920
100,1.0,Tradicional,Acessar Elemento,3.0994415283203125e-06,0
100,1.0,Tradicional,Inserir Elemento,2.86102294921875e-06,0
100,1.0,Tradicional,Transposta,0.00042510032653808594,0
100,1.0,Tradicional,Soma,0.0008251667022705078,0
100,1.0,Tradicional,Mult Escalar,0.0004930496215820312,0
100,1.0,Tradicional,Mult Matriz,0.05431938171386719,0
100,1.0,Est. 1 - Hash,Uso de Memória,0.0,13312
100,1.0,Est. 1 - Hash,Acessar Elemento,1.5735626220703125e-05,0
100,1.0,Est. 1 - Hash,Inserir Elemento,1.5497207641601562e-05,0
100,1.0,Est. 1 - Hash,Transposta,0.00015234947204589844,0
100,1.0,Est. 1 - Hash,Soma,0.000247955322265625,0
100,1.0,Est. 1 - Hash,Mult Escalar,0.0003077983856201172,0
100,1.0,Est. 1 - Hash,Mult Matriz,0.00019431114196777344,0
100,1.0,Est. 2 - Heap,Uso de Memória,0.0,6400
100,1.0,Est. 2 - Heap,Acessar Elemento,1.6450881958007812e-05,0
100,1.0,Est. 2 - Heap,Inserir Elemento,3.600120544433594e-05,0
100,1.0,Est. 2 - Heap,Transposta,1.1920928955078125e-06,0
100,1.0,Est. 2 - Heap,Soma,0.0007338523864746094,0
100,1.0,Est. 2 - Heap,Mult Escalar,1.4781951904296875e-05,0
100,1.0,Est. 2 - Heap,Mult Matriz,0.00043582916259765625,0
100,5.0,Tradicional,Uso de Memória,0.0,92920
100,5.0,Tradicional,Acessar Elemento,3.814697265625e-06,0
100,5.0,Tradicional,Inserir Elemento,0.000186920166015625,0
100,5.0,Tradicional,Transposta,0.0005619525909423828,0
100,5.0,Tradicional,Soma,0.0005962848663330078,0
100,5.0,Tradicional,Mult Escalar,0.0007967948913574219,0
100,5.0,Tradicional,Mult Matriz,0.052326202392578125,0
100,5.0,Est. 1 - Hash,Uso de Memória,0.0,67712
100,5.0,Est. 1 - Hash,Acessar Elemento,1.1920928955078125e-05,0
100,5.0,Est. 1 - Hash,Inserir Elemento,1.5735626220703125e-05,0
100,5.0,Est. 1 - Hash,Transposta,0.00011205673217773438,0
100,5.0,Est. 1 - Hash,Soma,0.0012993812561035156,0
100,5.0,Est. 1 - Hash,Mult Escalar,0.002378702163696289,0
100,5.0,Est. 1 - Hash,Mult Matriz,0.0038957595825195312,0
100,5.0,Est. 2 - Heap,Uso de Memória,0.0,32000
100,5.0,Est. 2 - Heap,Acessar Elemento,2.2649765014648438e-05,0
100,5.0,Est. 2 - Heap,Inserir Elemento,4.6253204345703125e-05,0
100,5.0,Est. 2 - Heap,Transposta,7.152557373046875e-07,0
100,5.0,Est. 2 - Heap,Soma,0.0037577152252197266,0
100,5.0,Est. 2 - Heap,Mult Escalar,4.38690185546875e-05,0
100,5.0,Est. 2 - Heap,Mult Matriz,0.01618504524230957,0
100,10.0,Tradicional,Uso de Memória,0.0,92920
100,10.0,Tradicional,Acessar Elemento,6.198883056640625e-06,0
100,10.0,Tradicional,Inserir Elemento,4.291534423828125e-06,0
100,10.0,Tradicional,Transposta,0.0006148815155029297,0
100,10.0,Tradicional,Soma,0.0009684562683105469,0
100,10.0,Tradicional,Mult Escalar,0.0008156299591064453,0
100,10.0,Tradicional,Mult Matriz,0.06835412979125977,0
100,10.0,Est. 1 - Hash,Uso de Memória,0.0,132368
100,10.0,Est. 1 - Hash,Acessar Elemento,1.2874603271484375e-05,0
100,10.0,Est. 1 - Hash,Inserir Elemento,1.430511474609375e-05,0
100,10.0,Est. 1 - Hash,Transposta,0.0002741813659667969,0
100,10.0,Est. 1 - Hash,Soma,0.002998828887939453,0
100,10.0,Est. 1 - Hash,Mult Escalar,0.0011317729949951172,0
100,10.0,Est. 1 - Hash,Mult Matriz,0.04509282112121582,0
100,10.0,Est. 2 - Heap,Uso de Memória,0.0,64000
100,10.0,Est. 2 - Heap,Acessar Elemento,2.5272369384765625e-05,0
100,10.0,Est. 2 - Heap,Inserir Elemento,4.696846008300781e-05,0
100,10.0,Est. 2 - Heap,Transposta,2.384185791015625e-07,0
100,10.0,Est. 2 - Heap,Soma,0.008548974990844727,0
100,10.0,Est. 2 - Heap,Mult Escalar,9.894371032714844e-05,0
100,10.0,Est. 2 - Heap,Mult Matriz,0.03368687629699707,0
100,20.0,Tradicional,Uso de Memória,0.0,92920
100,20.0,Tradicional,Acessar Elemento,5.0067901611328125e-06,0
100,20.0,Tradicional,Inserir Elemento,2.86102294921875e-06,0
100,20.0,Tradicional,Transposta,0.00046539306640625,0
100,20.0,Tradicional,Soma,0.0006744861602783203,0
100,20.0,Tradicional,Mult Escalar,0.0005414485931396484,0
100,20.0,Tradicional,Mult Matriz,0.057702064514160156,0
100,20.0,Est. 1 - Hash,Uso de Memória,0.0,266096
