row,col,value
10,28,5
97,33,5
35,94,7
82,4,4
77,11,2
56,64,8
51,56,2
36,21,8
36,28,4
20,95,6
51,80,5
46,73,3
36,58,6
98,9,2
26,43,1
36,70,1
72,58,8
62,41,3
82,91,4
16,54,6
31,92,8
26,83,4
62,75,1
62,84,2
37,36,2
78,34,2
27,17,9
63,13,1
22,19,1
58,6,8
83,66,9
32,51,8
17,16,2
17,31,5
94,15,5
73,68,1
48,8,6
53,33,3
7,27,2
12,43,6
7,37,5
7,41,3
74,7,4
89,45,7
84,34,4
22,91,5
2,46,9
99,79,1
2,54,6
43,63,7
48,79,9
79,52,1
2,72,8
95,3,1
13,18,7
54,17,4
59,30,7
13,24,8
38,90,7
95,23,5
18,44,1
69,68,8
74,81,1
13,43,7
80,0,2
13,45,8
85,14,1
74,87,2
13,48,2
8,48,7
18,73,9
39,32,1
70,5,6
70,7,6
75,20,4
54,83,7
13,98,7
19,18,1
65,28,9
91,0,9
39,81,1
80,83,6
80,87,8
14,32,2
80,89,8
75,81,5
96,32,2
9,29,9
81,8,9
81,15,7
30,0,7
35,15,8
91,53,7
65,97,5
91,60,7
86,62,2
61,7,7
66,20,3
66,36,6
40,93,5
