N,Densidade,Estrutura,Operacao,Tempo,Memoria
100,1,Tradicional,Uso de Memória,0.0,92920
100,1,Tradicional,Acessar Elemento,3.5762786865234375e-06,0
100,1,Tradicional,Inserir Elemento,3.814697265625e-06,0
100,1,Tradicional,Transposta,0.0004563331604003906,0
100,1,Tradicional,Soma,0.0006501674652099609,0
100,1,Tradicional,Mult Escalar,0.0004744529724121094,0
100,1,Tradicional,Mult Matriz,0.05399012565612793,0
100,1,Est. 1 - Hash,Uso de Memória,0.0,13312
100,1,Est. 1 - Hash,Acessar Elemento,1.8358230590820312e-05,0
100,1,Est. 1 - Hash,Inserir Elemento,1.9073486328125e-05,0
100,1,Est. 1 - Hash,Transposta,0.0001456737518310547,0
100,1,Est. 1 - Hash,Soma,0.00022602081298828125,0
100,1,Est. 1 - Hash,Mult Escalar,9.202957153320312e-05,0
100,1,Est. 1 - Hash,Mult Matriz,0.00018405914306640625,0
100,1,Est. 2 - Heap,Uso de Memória,0.0,6400
100,1,Est. 2 - Heap,Acessar Elemento,2.4318695068359375e-05,0
100,1,Est. 2 - Heap,Inserir Elemento,6.127357482910156e-05,0
100,1,Est. 2 - Heap,Transposta,7.152557373046875e-07,0
100,1,Est. 2 - Heap,Soma,0.0008637905120849609,0
100,1,Est. 2 - Heap,Mult Escalar,0.0003409385681152344,0
100,1,Est. 2 - Heap,Mult Matriz,0.00046443939208984375,0
100,5,Tradicional,Uso de Memória,0.0,92920
100,5,Tradicional,Acessar Elemento,3.337860107421875e-06,0
100,5,Tradicional,Inserir Elemento,2.86102294921875e-06,0
100,5,Tradicional,Transposta,0.00045037269592285156,0
100,5,Tradicional,Soma,0.0006039142608642578,0
100,5,Tradicional,Mult Escalar,0.0004706382751464844,0
100,5,Tradicional,Mult Matriz,0.056760549545288086,0
100,5,Est. 1 - Hash,Uso de Memória,0.0,67712
100,5,Est. 1 - Hash,Acessar Elemento,1.9788742065429688e-05,0
100,5,Est. 1 - Hash,Inserir Elemento,2.5510787963867188e-05,0
100,5,Est. 1 - Hash,Transposta,0.00011920928955078125,0
100,5,Est. 1 - Hash,Soma,0.0016694068908691406,0
100,5,Est. 1 - Hash,Mult Escalar,0.0015947818756103516,0
100,5,Est. 1 - Hash,Mult Matriz,0.003398418426513672,0
100,5,Est. 2 - Heap,Uso de Memória,0.0,32000
100,5,Est. 2 - Heap,Acessar Elemento,3.123283386230469e-05,0
100,5,Est. 2 - Heap,Inserir Elemento,8.058547973632812e-05,0
100,5,Est. 2 - Heap,Transposta,2.384185791015625e-07,0
100,5,Est. 2 - Heap,Soma,0.004624366760253906,0
100,5,Est. 2 - Heap,Mult Escalar,0.00183868408203125,0
100,5,Est. 2 - Heap,Mult Matriz,0.010859251022338867,0
100,10,Tradicional,Uso de Memória,0.0,92920
100,10,Tradicional,Acessar Elemento,8.821487426757812e-06,0
100,10,Tradicional,Inserir Elemento,4.291534423828125e-06,0
100,10,Tradicional,Transposta,0.000514984130859375,0
100,10,Tradicional,Soma,0.0006802082061767578,0
100,10,Tradicional,Mult Escalar,0.0005283355712890625,0
100,10,Tradicional,Mult Matriz,0.05568099021911621,0
100,10,Est. 1 - Hash,Uso de Memória,0.0,132368
100,10,Est. 1 - Hash,Acessar Elemento,2.002716064453125e-05,0
100,10,Est. 1 - Hash,Inserir Elemento,2.6464462280273438e-05,0
100,10,Est. 1 - Hash,Transposta,0.0003027915954589844,0
100,10,Est. 1 - Hash,Soma,0.003172159194946289,0
100,10,Est. 1 - Hash,Mult Escalar,0.0010204315185546875,0
100,10,Est. 1 - Hash,Mult Matriz,0.032946109771728516,0
100,10,Est. 2 - Heap,Uso de Memória,0.0,64000
100,10,Est. 2 - Heap,Acessar Elemento,4.220008850097656e-05,0
100,10,Est. 2 - Heap,Inserir Elemento,7.867813110351562e-05,0
100,10,Est. 2 - Heap,Transposta,4.76837158203125e-07,0
100,10,Est. 2 - Heap,Soma,0.00899815559387207,0
100,10,Est. 2 - Heap,Mult Escalar,0.004229307174682617,0
100,10,Est. 2 - Heap,Mult Matriz,0.030379772186279297,0
1000,1,Tradicional,Uso de Memória,0.0,8864856
1000,1,Tradicional,Acessar Elemento,1.1920928955078125e-05,0
1000,1,Tradicional,Inserir Elemento,5.245208740234375e-06,0
1000,1,Tradicional,Transposta,0.056024789810180664,0
1000,1,Tradicional,Soma,0.06287741661071777,0
1000,1,Tradicional,Mult Escalar,0.05286264419555664,0
1000,1,Tradicional,Mult Matriz,0.0,0
1000,1,Est. 1 - Hash,Uso de Memória,0.0,1346032
1000,1,Est. 1 - Hash,Acessar Elemento,2.0265579223632812e-05,0
1000,1,Est. 1 - Hash,Inserir Elemento,2.7418136596679688e-05,0
1000,1,Est. 1 - Hash,Transposta,0.049108028411865234,0
1000,1,Est. 1 - Hash,Soma,0.03676629066467285,0
1000,1,Est. 1 - Hash,Mult Escalar,0.07921147346496582,0
1000,1,Est. 1 - Hash,Mult Matriz,0.42754459381103516,0
1000,1,Est. 2 - Heap,Uso de Memória,0.0,640000
1000,1,Est. 2 - Heap,Acessar Elemento,8.344650268554688e-05,0
1000,1,Est. 2 - Heap,Inserir Elemento,0.0001385211944580078,0
1000,1,Est. 2 - Heap,Transposta,4.76837158203125e-07,0
1000,1,Est. 2 - Heap,Soma,0.14513349533081055,0
1000,1,Est. 2 - Heap,Mult Escalar,0.05630826950073242,0
1000,1,Est. 2 - Heap,Mult Matriz,0.6225521564483643,0
1000,5,Tradicional,Uso de Memória,0.0,8864856
1000,5,Tradicional,Acessar Elemento,1.5497207641601562e-05,0
1000,5,Tradicional,Inserir Elemento,6.4373016357421875e-06,0
1000,5,Tradicional,Transposta,0.0648951530456543,0
1000,5,Tradicional,Soma,0.07172012329101562,0
1000,5,Tradicional,Mult Escalar,0.0564119815826416,0
1000,5,Tradicional,Mult Matriz,0.0,0
1000,5,Est. 1 - Hash,Uso de Memória,0.0,6601968
1000,5,Est. 1 - Hash,Acessar Elemento,2.193450927734375e-05,0
1000,5,Est. 1 - Hash,Inserir Elemento,3.0279159545898438e-05,0
1000,5,Est. 1 - Hash,Transposta,0.13102412223815918,0
1000,5,Est. 1 - Hash,Soma,0.48329997062683105,0
1000,5,Est. 1 - Hash,Mult Escalar,0.22067809104919434,0
1000,5,Est. 1 - Hash,Mult Matriz,10.84892463684082,0
1000,5,Est. 2 - Heap,Uso de Memória,0.0,3200000
1000,5,Est. 2 - Heap,Acessar Elemento,0.00012803077697753906,0
1000,5,Est. 2 - Heap,Inserir Elemento,0.0001838207244873047,0
1000,5,Est. 2 - Heap,Transposta,7.152557373046875e-07,0
1000,5,Est. 2 - Heap,Soma,0.7510664463043213,0
1000,5,Est. 2 - Heap,Mult Escalar,0.31084465980529785,0
1000,5,Est. 2 - Heap,Mult Matriz,7.836833238601685,0
1000,10,Tradicional,Uso de Memória,0.0,8864856
1000,10,Tradicional,Acessar Elemento,1.4066696166992188e-05,0
1000,10,Tradicional,Inserir Elemento,6.9141387939453125e-06,0
1000,10,Tradicional,Transposta,0.05647134780883789,0
1000,10,Tradicional,Soma,0.06890869140625,0
1000,10,Tradicional,Mult Escalar,0.055986642837524414,0
1000,10,Tradicional,Mult Matriz,0.0,0
1000,10,Est. 1 - Hash,Uso de Memória,0.0,13248112
1000,10,Est. 1 - Hash,Acessar Elemento,2.1696090698242188e-05,0
1000,10,Est. 1 - Hash,Inserir Elemento,2.86102294921875e-05,0
1000,10,Est. 1 - Hash,Transposta,0.4403402805328369,0
1000,10,Est. 1 - Hash,Soma,0.9785664081573486,0
1000,10,Est. 1 - Hash,Mult Escalar,0.25655674934387207,0
1000,10,Est. 1 - Hash,Mult Matriz,46.65737581253052,0
1000,10,Est. 2 - Heap,Uso de Memória,0.0,6400000
1000,10,Est. 2 - Heap,Acessar Elemento,0.00014781951904296875,0
1000,10,Est. 2 - Heap,Inserir Elemento,0.00018858909606933594,0
1000,10,Est. 2 - Heap,Transposta,2.384185791015625e-07,0
1000,10,Est. 2 - Heap,Soma,1.5914058685302734,0
1000,10,Est. 2 - Heap,Mult Escalar,0.6330881118774414,0
1000,10,Est. 2 - Heap,Mult Matriz,9.181056261062622,0
