N,Densidade,Estrutura,Operacao,Tempo,Memoria
100,1.0,Tradicional,Uso de Memória,0.0,92920
100,1.0,Tradicional,Acessar Elemento,3.337860107421875e-06,0
100,1.0,Tradicional,Inserir Elemento,2.86102294921875e-06,0
100,1.0,Tradicional,Transposta,0.0004818439483642578,0
100,1.0,Tradicional,Soma,0.0009922981262207031,0
100,1.0,Tradicional,Mult Escalar,0.0005733966827392578,0
100,1.0,Tradicional,Mult Matriz,0.05650639533996582,0
100,1.0,Est. 1 - Hash,Uso de Memória,0.0,13312
100,1.0,Est. 1 - Hash,Acessar Elemento,1.52587890625e-05,0
100,1.0,Est. 1 - Hash,Inserir Elemento,1.2874603271484375e-05,0
100,1.0,Est. 1 - Hash,Transposta,9.894371032714844e-05,0
100,1.0,Est. 1 - Hash,Soma,0.00021195411682128906,0
100,1.0,Est. 1 - Hash,Mult Escalar,9.202957153320312e-05,0
100,1.0,Est. 1 - Hash,Mult Matriz,0.00016498565673828125,0
100,1.0,Est. 2 - Heap,Uso de Memória,0.0,6400
100,1.0,Est. 2 - Heap,Acessar Elemento,1.621246337890625e-05,0
100,1.0,Est. 2 - Heap,Inserir Elemento,3.790855407714844e-05,0
100,1.0,Est. 2 - Heap,Transposta,7.152557373046875e-07,0
100,1.0,Est. 2 - Heap,Soma,0.0006887912750244141,0
100,1.0,Est. 2 - Heap,Mult Escalar,0.0003046989440917969,0
100,1.0,Est. 2 - Heap,Mult Matriz,0.0003533363342285156,0
100,5.0,Tradicional,Uso de Memória,0.0,92920
100,5.0,Tradicional,Acessar Elemento,3.0994415283203125e-06,0
100,5.0,Tradicional,Inserir Elemento,2.6226043701171875e-06,0
100,5.0,Tradicional,Transposta,0.0007183551788330078,0
100,5.0,Tradicional,Soma,0.001524209976196289,0
100,5.0,Tradicional,Mult Escalar,0.0006783008575439453,0
100,5.0,Tradicional,Mult Matriz,0.05832314491271973,0
100,5.0,Est. 1 - Hash,Uso de Memória,0.0,67712
100,5.0,Est. 1 - Hash,Acessar Elemento,1.2636184692382812e-05,0
100,5.0,Est. 1 - Hash,Inserir Elemento,1.4543533325195312e-05,0
100,5.0,Est. 1 - Hash,Transposta,9.799003601074219e-05,0
100,5.0,Est. 1 - Hash,Soma,0.0011639595031738281,0
100,5.0,Est. 1 - Hash,Mult Escalar,0.0010225772857666016,0
100,5.0,Est. 1 - Hash,Mult Matriz,0.004612445831298828,0
100,5.0,Est. 2 - Heap,Uso de Memória,0.0,32000
100,5.0,Est. 2 - Heap,Acessar Elemento,5.4836273193359375e-05,0
100,5.0,Est. 2 - Heap,Inserir Elemento,8.249282836914062e-05,0
100,5.0,Est. 2 - Heap,Transposta,1.430511474609375e-06,0
100,5.0,Est. 2 - Heap,Soma,0.0046253204345703125,0
100,5.0,Est. 2 - Heap,Mult Escalar,0.0018084049224853516,0
100,5.0,Est. 2 - Heap,Mult Matriz,0.011469125747680664,0
100,10.0,Tradicional,Uso de Memória,0.0,92920
100,10.0,Tradicional,Acessar Elemento,3.814697265625e-06,0
100,10.0,Tradicional,Inserir Elemento,2.1457672119140625e-06,0
100,10.0,Tradicional,Transposta,0.00043511390686035156,0
100,10.0,Tradicional,Soma,0.0008924007415771484,0
100,10.0,Tradicional,Mult Escalar,0.0006041526794433594,0
100,10.0,Tradicional,Mult Matriz,0.05667996406555176,0
100,10.0,Est. 1 - Hash,Uso de Memória,0.0,132368
100,10.0,Est. 1 - Hash,Acessar Elemento,1.2636184692382812e-05,0
100,10.0,Est. 1 - Hash,Inserir Elemento,2.002716064453125e-05,0
100,10.0,Est. 1 - Hash,Transposta,0.0003116130828857422,0
100,10.0,Est. 1 - Hash,Soma,0.003287792205810547,0
100,10.0,Est. 1 - Hash,Mult Escalar,0.0010263919830322266,0
100,10.0,Est. 1 - Hash,Mult Matriz,0.04071784019470215,0
100,10.0,Est. 2 - Heap,Uso de Memória,0.0,64000
100,10.0,Est. 2 - Heap,Acessar Elemento,2.5987625122070312e-05,0
100,10.0,Est. 2 - Heap,Inserir Elemento,5.1975250244140625e-05,0
100,10.0,Est. 2 - Heap,Transposta,2.384185791015625e-07,0
100,10.0,Est. 2 - Heap,Soma,0.008335113525390625,0
100,10.0,Est. 2 - Heap,Mult Escalar,0.004071235656738281,0
100,10.0,Est. 2 - Heap,Mult Matriz,0.03234410285949707,0
100,20.0,Tradicional,Uso de Memória,0.0,92920
100,20.0,Tradicional,Acessar Elemento,5.9604644775390625e-06,0
100,20.0,Tradicional,Inserir Elemento,3.5762786865234375e-06,0
100,20.0,Tradicional,Transposta,0.0005142688751220703,0
100,20.0,Tradicional,Soma,0.0007874965667724609,0
100,20.0,Tradicional,Mult Escalar,0.0005562305450439453,0
100,20.0,Tradicional,Mult Matriz,0.059992313385009766,0
100,20.0,Est. 1 - Hash,Uso de Memória,0.0,266096
100,20.0,Est. 1 - Hash,Acessar Elemento,1.33514404296875e-05,0
100,20.0,Est. 1 - Hash,Inserir Elemento,1.621246337890625e-05,0
100,20.0,Est. 1 - Hash,Transposta,0.0004966259002685547,0
100,20.0,Est. 1 - Hash,Soma,0.0059664249420166016,0
100,20.0,Est. 1 - Hash,Mult Escalar,0.0023970603942871094,0
100,20.0,Est. 1 - Hash,Mult Matriz,0.09939765930175781,0
100,20.0,Est. 2 - Heap,Uso de Memória,0.0,128000
100,20.0,Est. 2 - Heap,Acessar Elemento,2.574920654296875e-05,0
